,Label
2901,0
1034,0
3496,0
1821,0
2103,0
1704,0
906,0
1116,0
3747,0
412,0
3737,0
1643,1
2802,0
3150,0
3304,2
3239,0
2945,0
2998,0
1149,0
1234,0
2385,0
1630,0
3433,0
2961,0
2288,0
2744,0
1504,0
3099,0
1153,0
484,0
477,0
276,0
1869,0
2988,0
2981,0
1725,0
1456,0
2838,0
3086,0
764,0
1393,0
2172,0
2062,0
2771,0
1706,0
3407,2
1521,0
1799,0
1462,0
1967,0
3359,0
952,0
3696,0
2853,0
3415,0
3448,0
2504,0
1114,0
2550,0
3206,0
1311,0
1129,0
240,0
578,0
1297,0
690,0
267,0
3872,0
1597,0
388,0
3322,1
1817,0
1952,0
150,0
1891,0
2718,1
1347,1
2366,0
1758,0
1057,0
2056,0
2123,0
2806,0
1518,0
626,0
800,0
1762,0
2905,0
822,0
886,0
627,0
2030,2
1924,0
1074,0
1163,1
2301,0
1457,0
569,1
3592,0
2792,2
2431,0
3104,0
1269,1
1954,0
3266,0
2265,2
3370,0
476,0
3897,0
2437,1
2346,0
3332,1
646,0
1160,0
1945,0
2708,0
1431,0
1211,1
743,0
1509,0
816,0
3215,0
2908,0
801,0
1629,0
888,1
1520,0
2986,0
3169,0
104,0
1068,0
333,0
516,0
2269,0
343,2
2764,0
414,0
740,2
1837,0
2046,0
1753,0
3911,0
1765,0
1196,0
3695,0
335,0
644,0
3865,0
205,0
1622,0
179,0
1700,0
790,0
797,0
582,0
3724,0
1176,0
1989,0
1027,0
1579,0
151,2
3499,0
2155,0
2679,0
994,0
2618,0
3763,1
1864,0
2751,0
824,0
2157,0
3148,0
3292,0
2399,1
1730,0
2567,0
2309,0
421,0
1451,0
62,0
2987,0
2754,0
2446,0
1618,0
1937,0
2181,0
432,0
2308,1
1736,0
2728,0
2243,0
3943,0
3412,0
1042,0
1863,0
2599,1
2124,0
2430,0
2458,0
130,0
2287,1
912,0
1158,0
3535,0
2168,0
1363,0
3575,0
2253,1
501,0
1101,0
1417,0
1062,1
1726,0
926,0
1785,2
1716,0
3074,1
3669,0
3727,0
3785,1
2445,0
3061,2
505,1
3188,0
3574,0
1605,0
1694,0
583,0
1205,0
2314,0
3714,0
2393,0
2789,0
3556,0
3386,0
1354,0
2020,0
2862,0
1162,0
68,2
202,0
2793,0
3416,0
1409,0
2522,0
3030,0
2066,0
1236,0
1481,2
1657,0
2342,0
3648,0
2574,0
1142,0
1783,0
2084,2
2324,0
258,1
3649,0
523,0
2967,0
3331,0
3422,0
1540,0
3952,2
2318,0
542,0
3692,0
2333,2
1253,0
2957,0
726,0
2335,0
2579,0
3688,2
2963,0
2003,0
1613,0
3825,0
352,0
2338,0
667,1
3844,0
3764,0
3306,1
550,0
3501,0
796,0
3725,0
117,0
1343,0
1632,0
2616,0
2811,0
681,0
2204,0
3532,0
2913,0
507,0
3735,0
3466,0
330,0
2779,0
3484,0
3038,0
199,0
3224,0
971,0
1796,0
3705,0
1453,2
2471,1
3777,0
1841,0
1497,2
1190,0
1244,0
3743,0
835,0
82,0
1465,0
1827,0
3674,0
1886,0
1410,0
669,2
793,0
1312,0
1125,0
2376,2
1331,0
803,0
3849,2
2983,0
3898,0
622,0
3213,0
3389,0
2510,0
3220,0
247,0
2954,0
1046,0
2747,0
496,0
907,0
2361,0
1402,0
3021,0
1484,0
1498,0
818,0
2323,0
1552,0
3781,0
3288,0
1204,0
699,0
269,0
3553,0
3470,0
2629,2
2703,0
387,0
1287,0
1660,0
2276,0
1130,0
1189,0
2672,0
2390,1
3722,0
3208,2
3760,0
3875,0
3139,0
725,0
80,0
1648,0
2263,1
396,0
265,0
959,2
2047,0
749,0
1474,2
331,2
1932,2
3236,0
3519,0
449,0
610,0
3832,0
2647,0
3798,0
2391,0
3120,0
748,0
194,0
3436,0
3822,0
2813,0
1885,0
1483,0
2260,0
1315,0
765,0
3806,0
3742,0
2884,0
3533,0
1739,0
922,0
555,0
987,0
962,0
2930,0
3149,0
3005,0
2752,0
3313,0
1121,0
1868,1
3080,0
700,0
1238,0
299,0
3550,0
3372,0
1996,0
2748,0
334,0
2226,0
450,0
1329,0
271,0
2419,0
3401,0
2631,0
2652,1
2467,0
3619,0
2488,0
2511,0
2432,0
358,2
1436,0
3454,0
2214,0
3920,0
1284,0
769,0
600,0
2150,0
2004,0
1674,0
161,1
3203,0
1564,0
1687,0
917,0
1327,0
2136,0
3756,0
2203,0
2596,0
3052,0
2382,0
3294,0
1430,2
772,0
1990,0
419,0
753,0
1902,0
934,0
2723,0
2644,0
3475,0
3505,0
1655,0
953,0
552,0
3404,1
3627,0
1178,0
1264,0
1915,2
3242,1
2005,0
2698,0
2733,0
3340,0
3001,0
3819,0
1975,0
739,0
1921,0
2628,0
782,0
1505,2
993,2
280,0
723,0
2675,0
2239,0
2210,0
3815,0
3245,0
260,0
948,0
3527,0
1850,2
1303,0
3598,0
1014,0
1384,0
1422,0
152,0
3268,2
1963,0
1169,0
3330,2
2980,1
2850,0
788,2
595,0
1445,0
63,0
2883,0
3936,0
3850,0
1577,0
638,0
1321,0
3039,0
2369,0
3507,0
3741,0
2209,0
3291,0
2877,0
985,0
185,0
1838,0
2985,0
2859,0
2910,0
734,1
2715,0
3240,0
2589,0
1043,0
2350,0
2497,0
3856,0
3707,0
131,0
1819,0
1830,0
1782,0
1918,0
3262,1
3439,0
3565,0
3019,0
695,2
950,0
3549,0
2776,0
60,1
235,0
2401,0
1006,0
3056,0
1503,0
2137,0
750,0
660,0
2499,0
2692,0
2235,0
1908,0
3207,0
1467,1
3946,2
823,0
3118,0
3701,0
820,0
2563,0
274,1
885,2
1133,0
1829,0
2085,0
1398,0
1122,0
323,0
2947,0
1328,0
938,0
2518,0
2846,2
1132,0
1690,0
1416,0
2920,1
2651,0
2638,0
3341,0
2443,0
1377,0
2468,0
492,0
3164,0
854,0
2713,0
1433,1
301,0
3601,0
3115,0
483,0
470,2
2557,0
2783,0
443,0
1075,0
2143,0
766,0
3657,0
1406,0
1441,2
805,1
3394,0
2002,0
546,0
3155,0
1713,0
1580,1
1380,0
1156,0
3078,0
1874,0
149,0
3917,1
3494,0
3275,0
1691,0
3023,0
3633,0
745,1
3424,0
354,0
1547,2
1771,0
456,2
1345,2
2836,0
1934,0
1024,0
288,2
3841,0
1523,0
1194,0
3399,2
3938,0
775,0
2111,0
2279,0
113,0
1478,0
2119,0
1862,0
986,0
2795,0
2827,0
3591,1
3607,0
3141,2
2719,0
1146,0
3513,0
437,1
1667,0
3243,0
1078,0
2122,0
2915,0
2363,0
1985,0
1313,0
200,0
2060,0
3684,0
1054,0
353,1
904,0
1200,0
1803,0
1255,0
2202,1
2091,0
3866,0
3663,0
756,0
1197,0
3708,0
2364,0
1350,0
178,0
1884,1
3457,0
939,0
2670,0
1929,0
871,0
3644,0
3676,0
2310,0
729,0
1684,0
856,0
3834,0
430,0
908,0
3630,0
3716,0
1243,0
1226,0
2396,0
1966,0
3365,0
2778,0
651,0
227,0
168,0
1959,0
498,0
1256,0
3905,2
3432,0
2332,0
2121,0
1000,0
1555,0
2448,0
3768,0
819,1
597,1
2720,0
3283,0
2024,0
2353,0
1575,2
3192,0
1392,0
3495,0
3133,0
3569,0
2316,0
865,0
1184,0
1977,0
1661,0
679,0
2398,0
1563,0
2242,0
1221,0
2565,0
899,0
3689,0
2027,0
2320,1
849,0
3384,1
1890,0
1592,0
678,0
711,0
1551,0
1210,0
1302,0
661,0
655,0
3482,1
2411,0
2880,0
997,1
1943,0
737,0
1446,0
1227,0
337,0
1529,1
3864,0
3568,0
1242,0
2974,0
2050,0
530,0
2952,0
1477,0
2213,0
2086,0
2367,0
3085,0
3652,0
731,0
1749,0
596,0
215,2
2788,0
1033,0
1468,0
598,0
2688,0
3285,0
3600,0
3049,0
2219,0
937,0
2931,2
241,0
2010,2
1804,0
455,0
1718,0
3480,0
2495,0
1995,0
3746,0
3027,0
1894,0
575,0
2643,0
2070,1
3827,0
602,0
3629,0
965,0
841,0
59,0
3854,0
1811,0
2586,0
3083,0
2078,0
3492,0
2893,0
876,0
2674,0
585,0
3837,0
1858,0
2904,0
1195,0
1259,0
3006,0
360,0
1944,0
3942,0
3603,1
2436,0
3816,0
3944,0
2972,0
423,0
1040,2
2476,0
3198,0
571,0
1692,0
2577,0
779,0
3125,0
2646,0
3305,0
245,0
3111,0
2477,0
1510,0
1063,0
2392,0
124,0
3921,2
573,0
3045,0
1317,0
2803,0
3057,0
3455,0
257,0
3031,0
2735,0
3447,0
482,0
1550,1
1172,0
2306,0
2775,0
3783,0
2330,0
2580,0
410,0
2374,0
547,1
1001,0
1281,0
1951,0
3110,0
3209,0
2890,0
1009,0
1067,2
742,0
3136,0
628,0
3901,0
3171,2
1344,0
674,0
463,2
2505,2
3059,0
212,0
1330,0
1780,0
2734,0
2189,0
1157,0
3929,0
2678,0
592,0
1212,0
961,0
3100,0
3610,1
3686,0
3586,0
973,0
394,0
2916,0
3829,0
683,0
554,0
2717,0
781,2
1401,0
964,0
3477,0
857,0
3167,0
2979,0
1088,0
3544,1
1572,0
2697,2
2102,1
1994,0
139,0
2285,0
3693,0
713,0
1217,0
1201,0
3092,0
2191,0
2847,0
2147,0
3174,0
2929,0
1727,0
1038,0
447,0
1843,0
3879,0
2812,0
1475,0
2634,0
1519,0
1936,0
489,0
540,0
1722,0
1155,0
3231,0
71,0
2061,2
86,0
1342,0
1299,0
2358,0
2233,1
293,0
2188,2
689,0
163,0
3067,0
3616,0
543,0
2512,0
1669,2
1792,0
3468,1
2025,0
2170,0
544,0
2721,0
3090,0
3162,0
913,1
2537,0
1559,0
3712,0
3517,0
1102,0
1166,0
3298,0
2761,0
1261,0
1290,0
1029,0
3428,0
2286,0
3719,0
3830,1
1055,0
3311,0
3687,0
2326,0
2741,0
3142,0
3770,2
2262,0
491,0
2668,0
3464,0
156,0
2536,0
2540,0
1832,0
1728,2
3223,0
475,1
3732,1
107,0
3766,0
3745,0
3301,0
3329,0
3053,0
2444,0
615,0
155,1
3796,0
2402,0
3346,0
3826,0
1759,0
327,0
1557,2
2386,0
2182,0
1182,0
1549,0
3514,0
1051,0
1898,0
3821,0
3249,0
691,0
2256,0
487,0
2622,0
632,0
451,0
3773,0
1715,0
2341,0
3702,1
3194,0
3509,0
3950,0
3801,0
290,0
3503,2
1094,0
2508,0
984,0
1919,0
369,0
3907,0
1513,0
103,0
441,0
3803,2
2926,0
3640,0
3068,0
285,0
1920,0
2379,0
1429,0
875,0
386,0
1420,0
159,0
2709,0
873,0
3440,1
193,0
604,2
1183,0
2281,2
721,0
2975,0
762,0
2368,0
3883,0
682,1
2117,0
3146,0
332,0
2192,0
1710,0
1415,0
1273,0
3584,0
1578,0
1931,0
138,0
2922,0
2743,0
3949,0
3554,0
1791,0
1407,0
2109,0
933,2
1320,0
3740,0
238,0
3182,0
1364,0
1992,0
3857,0
720,0
382,0
3771,0
617,0
1602,0
2607,0
1859,0
445,0
1634,0
2738,0
3715,0
2453,0
977,0
990,0
663,0
1664,1
73,0
3260,0
3320,0
471,0
754,0
3699,0
209,0
3135,0
1507,0
2063,0
1747,0
536,2
2339,2
1522,0
190,0
3177,0
3580,0
1365,0
1696,0
652,0
3062,0
1554,0
1872,0
3210,1
2354,0
2195,1
2798,0
2785,0
607,1
309,0
3368,0
1633,0
956,0
2604,0
2925,0
3547,0
1974,0
1900,0
76,2
2684,0
558,1
75,0
1797,2
402,0
657,0
3254,0
234,0
461,0
3130,0
3391,0
1987,0
1432,0
3222,0
2106,0
2040,0
2773,1
1775,0
1588,0
126,0
2845,0
3420,0
3189,0
640,0
1144,0
2141,0
714,0
1808,1
2009,0
3659,0
2791,0
2653,0
3711,0
3382,0
1021,0
520,0
562,0
2273,0
1037,0
2712,0
231,0
135,0
3041,2
3297,2
1939,0
2935,0
3429,0
685,0
1280,0
517,0
1437,0
3931,1
878,0
3521,0
2098,0
2480,0
845,0
593,0
1971,0
2267,0
539,0
794,1
564,0
2129,0
204,0
1258,0
827,2
3772,0
405,0
616,2
3088,0
2832,0
707,0
3040,0
3032,2
524,0
1993,0
1699,0
1493,0
746,0
3309,0
1340,1
3526,0
390,0
1301,2
944,0
1254,2
1942,0
1147,0
2019,2
3807,0
2055,0
1164,0
3325,0
3251,0
2427,0
92,0
1685,0
1272,0
3300,0
2435,0
519,0
1187,0
3896,0
3387,0
2438,0
3317,0
2542,0
1208,2
798,0
1686,0
3793,0
1848,0
3419,0
2072,0
1148,0
2241,0
1913,0
1366,0
840,0
1940,1
1544,0
237,0
799,0
2081,0
2035,0
3614,0
1569,0
931,0
3563,0
2074,0
415,2
1917,0
629,0
3413,0
1568,1
1840,0
1470,0
2413,0
1600,0
3500,0
2863,1
3873,0
3903,0
2912,2
2115,0
2635,0
1636,0
1930,0
852,0
2049,0
719,2
94,0
2551,0
3445,0
3024,0
310,0
1396,1
1209,0
162,0
2313,0
1927,0
3703,0
609,0
448,0
3878,0
119,0
3349,0
2007,0
2096,0
77,0
1567,0
1813,0
1378,0
2834,0
1925,0
3267,0
1440,0
3377,1
605,0
2726,0
1318,1
177,0
2282,0
115,0
1976,1
2620,0
2153,0
514,0
2212,0
3185,0
548,0
413,0
2484,0
668,0
2187,0
3308,0
812,0
2539,0
3757,0
3805,0
499,0
3013,0
1767,0
1582,0
1351,2
2145,0
2483,0
3511,0
2447,0
431,2
3378,0
2174,0
2553,0
2898,0
2523,0
488,0
66,0
2633,0
2011,0
2824,1
1435,0
144,0
243,0
3840,0
340,0
2201,0
173,0
941,0
1449,0
1403,0
3555,0
1539,0
1270,0
97,0
2701,0
920,0
404,0
3570,0
2781,2
256,0
970,1
579,0
1647,0
2876,0
2960,0
3638,0
955,0
861,0
1031,2
1447,0
3582,0
804,2
292,0
408,0
2415,0
2558,0
927,0
1459,0
2089,0
2772,0
2691,0
1308,0
3498,0
1495,1
112,0
2587,0
3539,0
2671,0
1624,0
2759,0
1275,0
3808,0
1587,0
1903,2
1899,0
2095,0
2732,0
2120,0
3453,0
1866,0
1806,0
3481,0
418,0
191,0
2828,0
384,0
1562,0
3658,0
381,0
3388,0
1798,0
3559,0
3788,0
3817,0
1174,2
